x;y;f(x,y)
-1.472419972109273445e-02;-1.833979219441948416e+00;9.725010028853683375e-01
-1.530488383208284731e+00;2.504950599919473220e-01;1.008655198358259231e+00
6.028157465727752573e-01;-4.437776906113821695e-01;6.969246641658665142e-01
1.369967302770710660e+00;-1.458501860819775953e+00;9.083756335502333190e-01
-1.658149594283161665e+00;-3.958471206052922575e-01;1.000638471752607339e+00
9.921126596818328203e-01;1.551237817287160592e+00;9.646237923561906680e-01
1.515314868907860379e+00;-5.485862408498642928e-01;1.000578051429285242e+00
-1.879558880636528428e+00;4.171511793264448542e-02;9.408464514352755659e-01
-9.970964286627381767e-02;4.332100840850756640e-01;4.241684667412243259e-01
-1.877628855101313832e+00;-4.621873454066700582e-01;9.279029015308331019e-01
-1.355373850844152628e+00;2.892899358959675205e-01;9.830639415083753940e-01
1.605111265511311558e+00;-7.344991924634585168e-01;9.828565199480904235e-01
-1.421984677863918911e-01;-1.712515962028865246e+00;1.004040376043602079e+00
8.105514526227559635e-01;-7.762307632818110648e-02;7.022584083523947251e-01
-9.521678286484767106e-01;-1.548601127197144045e+00;9.680029148701041475e-01
1.383282494331909973e+00;4.623482674577612528e-01;9.956832862127994455e-01
1.805804800315466085e+00;1.417663280577020846e+00;7.549939954703390743e-01
-1.501846741976247124e+00;-1.756047737475661563e+00;7.434499782360062259e-01
1.513134371472657502e+00;1.365539592225912813e-01;1.007725959817939554e+00
5.858074808162267999e-01;1.442131356382467811e+00;1.005200403889260574e+00
1.287972131641862639e+00;-9.234296914191775230e-01;9.897448863505310390e-01
-1.934829676368285512e+00;-5.976749391386086963e-01;8.936490103101072391e-01
-1.112550202048486980e+00;-2.515361118220797998e-01;9.060242382819170270e-01
-8.359347609376190924e-01;-1.042257785011452054e+00;9.661221368513308594e-01
1.141625627428948242e-01;-6.800728758739067459e-01;6.172826119192970085e-01
-7.604562723265795299e-02;4.177978107374622496e-01;3.921049543902014323e-01
6.285277460770264391e-01;1.327808964799221947e-01;5.888711609464881702e-01
1.567135127689880392e+00;-1.235591164051836444e+00;9.081734316375986715e-01
-1.220963354074156015e-01;9.982117345330161484e-01;8.296405464842899757e-01
-2.515709233248251131e-01;-1.210785429575065741e+00;9.414072303399300123e-01
5.873225810697162430e-01;-1.616900370994190705e+00;9.921144572877279577e-01
-1.608832353021510730e+00;-5.228351792755256966e-01;9.969338026023879529e-01
1.415328952012200325e+00;-1.174052155116834140e+00;9.600890484424269289e-01
-9.653739179583733510e-01;-2.135739998232422110e-02;7.979009202595338524e-01
-1.625392389797721382e+00;-1.573130794399611343e+00;7.744239854614607399e-01
6.198424554769847994e-01;8.172664459705782924e-01;8.646423179817176452e-01
-1.488477984127280163e+00;1.128797217503758610e+00;9.607933805176442910e-01
1.298395379261726656e+00;1.536100973927369662e+00;9.075924467955319708e-01
1.637568683623753962e+00;-1.809411273458282565e+00;6.473828459925412560e-01
-1.624247468831487851e+00;1.630119395474668664e+00;7.501305474552887320e-01
8.759707741385454050e-01;-7.751217553489566647e-01;9.205472165841794840e-01
-1.740515891211138033e+00;-9.210353734234497658e-01;9.224803267347188029e-01
1.339839148466423602e+00;6.869941475616849758e-01;9.926191584672019452e-01
-8.070272360102861420e-01;1.901833481926841873e+00;8.781357414461884447e-01
1.516111603533459196e+00;8.533104394256874059e-02;1.010987923526806442e+00
3.715921020103798433e-01;8.423658539484701890e-02;3.703759910696835522e-01
5.163870964785268747e-01;-1.607447422843883089e+00;9.964622633858917222e-01
-6.220546089131726575e-01;1.492546098346067662e+00;1.007557524644082214e+00
4.885770878116089122e-01;1.211413264193865302e+00;9.630514408597538045e-01
-1.064010257266276405e+00;-1.383211218252038410e+00;9.733589590860439733e-01
1.487420005368046194e+00;-1.887902985706787717e+00;6.724515526222022421e-01
9.730750479812710907e-02;5.455541770538285817e-02;1.297565980616608994e-01
-8.269823589605409531e-01;1.692404530910558869e+00;9.494780439826026042e-01
7.134104504659419810e-01;1.594298726260681143e+00;9.880235757796851370e-01
-8.504183633756308147e-01;2.912412991225314940e-01;7.769312624422549662e-01
3.735252832316215965e-01;1.137212245735583771e+00;9.316887948048743207e-01
-1.137307246898234592e+00;1.941197497860736476e+00;7.780049741753637393e-01
-4.457674073993644903e-01;1.273112617541729108e+00;9.776743820117007600e-01
-6.275105953663855374e-01;1.633727529724463334e+00;9.850624627321241666e-01
5.348705395656105921e-02;-4.606246958960351634e-01;4.208502441031315433e-01
1.813440591717074835e+00;4.198988433335810733e-01;9.610866286769428335e-01
-6.148177045392833051e-02;-1.688022057869908110e+00;1.008526698435145974e+00
-5.890314807813958886e-01;3.014543517521870442e-01;6.286631326402755127e-01
1.169846926602227111e+00;1.648171681391811472e+00;9.037821731452208018e-01
-9.734229409895909235e-01;1.998528184119110485e-01;8.219381505181360126e-01
-4.549056779830129571e-02;-7.853458465466136573e-01;6.757570485811984495e-01
-6.831101275925455241e-03;5.805924866345941737e-01;5.067401712610428710e-01
1.632380127864755615e+00;6.403399257676190004e-02;1.015228726418843985e+00
-2.504999101122624694e-01;-1.333066173649854580e+00;9.800983995897640799e-01
-2.160889776563519327e-01;-1.494882871328544027e+00;1.011144752964798332e+00
-1.858649079300388252e+00;6.604336231112730715e-01;9.202885009124014415e-01
9.781213859408688371e-01;1.938103009394995802e-01;8.313841449165738640e-01
